ISO,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,PPP, 2030 GDP , 2030 Population ,2030 Water Demand (m3)
AFG,Afghanistan," $427,291,037 "," $369,548,386 "," $4,183,430 "," $37,959,330 "," $1,290,449,236 "," $425,886,284 "," $2,555,317,704 ",0.30," $107,272,795,079 ",4.55E+07,2.70E+10
ALB,Albania," $24,627,213 "," $19,714,805 "," $22,624,178 "," $33,331,088 "," $234,667,473 "," $66,992,951 "," $401,957,708 ",0.35," $40,738,861,069 ",3.08E+06,2.18E+09
DZA,Algeria," $890,589,744 "," $1,248,776,791 "," $785,795,176 "," $142,997,438 "," $1,096,621,401 "," $832,956,110 "," $4,997,736,660 ",0.28," $545,995,908,452 ",4.18E+07,1.42E+10
AND,Andorra," $964,171 "," $989,753 "," $12,721 "," $531,105 "," $93,727 "," $518,295 "," $3,109,773 ",1.00," $3,968,634,056 ",1.05E+05,3.88E+05
AGO,Angola," $1,914,124,096 "," $1,157,035,758 "," $987,698,016 "," $613,466,362 "," $314,193,415 "," $997,303,529 "," $5,983,821,176 ",0.56," $217,914,692,096 ",2.81E+07,4.07E+09
ARG,Argentina," $304,026,953 "," $1,210,028,540 "," $1,422,884,650 "," $3,235,134,909 "," $3,236,599,138 "," $1,881,734,838 "," $11,290,409,028 ",0.67," $1,182,387,524,610 ",4.34E+07,2.98E+10
ARM,Armenia," $23,821,449 "," $40,147,811 "," $5,295,280 "," $1,645,754 "," $132,609,915 "," $40,704,042 "," $244,224,250 ",0.41," $32,207,810,170 ",2.88E+06,1.86E+09
AUS,Australia," $556,908,564 "," $727,483,749 "," $495,863,277 "," $2,101,342,868 "," $6,355,194,462 "," $2,047,358,584 "," $12,284,151,503 ",1.22," $1,465,615,036,360 ",2.92E+07,4.11E+10
AUT,Austria," $47,220,702 "," $63,625,906 "," $593,861,691 "," $41,450,421 "," $10,952,359 "," $151,422,216 "," $908,533,297 ",0.89," $403,968,429,789 ",8.53E+06,5.31E+09
AZE,Azerbaijan," $131,698,354 "," $183,577,806 "," $449,109,396 "," $7,209,228 "," $1,368,064,670 "," $427,931,891 "," $2,567,591,345 ",0.31," $127,089,978,931 ",1.00E+07,1.50E+10
BHR,Bahrain," $57,421,520 "," $65,990,193 "," $6,323,433 ", $-   ," $29,557,818 "," $31,858,593 "," $191,151,557 ",0.49," $85,166,943,895 ",2.18E+06,2.81E+08
BGD,Bangladesh," $1,276,450,229 "," $1,367,818,666 "," $54,460,621 "," $548,253,660 "," $2,730,718,930 "," $1,195,540,421 "," $7,173,242,526 ",0.36," $895,176,889,339 ",1.76E+08,5.61E+10
BLR,Belarus," $31,551,703 "," $51,176,595 "," $151,831,874 "," $15,884,722 "," $19,265 "," $50,092,832 "," $300,556,991 ",0.32," $250,078,461,937 ",8.84E+06,4.13E+09
BEL,Belgium," $69,825,917 "," $75,330,162 "," $750,678,310 "," $11,098,219 "," $2,985,265,452 "," $778,439,612 "," $4,670,637,671 ",0.89," $452,392,693,413 ",1.06E+07,6.83E+09
BLZ,Belize," $21,953,743 "," $10,551,675 "," $27,996,014 "," $479,080 "," $5,734,323 "," $13,342,967 "," $80,057,802 ",0.57," $4,955,634,199 ",4.41E+05,2.56E+08
BEN,Benin," $126,479,602 "," $295,450,077 "," $42,312,964 "," $15,215,744 "," $37,411 "," $95,899,160 "," $575,394,959 ",0.37," $44,517,952,273 ",1.44E+07,4.81E+08
BTN,Bhutan," $31,851,002 "," $30,860,774 "," $324,570 "," $37,972,724 "," $18,840,742 "," $23,969,962 "," $143,819,774 ",0.32," $22,460,411,014 ",1.55E+06,4.20E+08
BOL,Bolivia," $124,095,853 "," $174,433,727 "," $177,479,769 "," $4,006,884,494 "," $362,342,212 "," $969,047,211 "," $5,814,283,265 ",0.44," $120,208,003,357 ",1.18E+07,4.63E+09
BIH,Bosnia and Herzegovina," $20,363,314 "," $36,497,755 "," $2,531,450 "," $30,949,757 ", $-   ," $18,068,455 "," $108,410,731 ",0.40," $67,535,278,982 ",4.02E+06,4.41E+08
BWA,Botswana," $178,423,032 "," $185,387,145 "," $15,317,014 "," $43,127,338 "," $18,161,067 "," $88,083,119 "," $528,498,715 ",0.40," $60,041,931,611 ",2.60E+06,2.39E+08
BRA,Brazil," $6,305,916,886 "," $5,399,402,551 "," $2,255,648,132 "," $4,774,997,105 "," $5,003,067,113 "," $4,747,806,357 "," $28,486,838,144 ",0.56," $3,947,657,610,510 ",2.13E+08,6.94E+10
BRN,Brunei," $7,147,407 "," $6,327,215 "," $16,495,568 ", $-   , $-   ," $5,994,038 "," $35,964,228 ",0.39," $25,714,322,440 ",4.12E+05,1.43E+08
BGR,Bulgaria, $-   ," $57,059,339 "," $245,376,837 "," $53,807,698 "," $496,229,028 "," $170,494,580 "," $1,022,967,483 ",0.39," $188,512,980,907 ",7.10E+06,5.66E+09
BFA,Burkina Faso," $413,025,418 "," $559,908,311 "," $27,172,946 "," $12,986,489 "," $40,549,679 "," $210,728,568 "," $1,264,371,411 ",0.34," $72,110,253,358 ",2.52E+07,2.01E+09
BDI,Burundi," $139,221,877 "," $121,673,247 "," $7,558,669 "," $1,462,875 "," $8,591,481 "," $55,701,630 "," $334,209,779 ",0.38," $16,432,560,347 ",1.08E+07,6.15E+08
KHM,Cambodia," $124,033,630 "," $184,264,535 "," $28,219,438 "," $336,575,579 "," $291,053,392 "," $192,829,315 "," $1,156,975,888 ",0.33," $99,989,260,664 ",1.53E+07,4.83E+09
CMR,Cameroon," $615,863,139 "," $718,737,518 "," $49,765,542 "," $87,805,145 "," $27,110,499 "," $299,856,369 "," $1,799,138,212 ",0.39," $127,300,673,512 ",2.73E+07,1.86E+09
CAN,Canada," $458,276,820 "," $627,218,458 "," $1,972,013,775 "," $1,666,927,104 "," $5,662,899,450 "," $2,077,467,121 "," $12,464,802,728 ",0.97," $1,787,660,835,680 ",4.01E+07,4.62E+10
CAF,Central African Republic," $137,445,994 "," $79,157,717 "," $16,682,175 "," $9,113,501 "," $1,482,531 "," $48,776,384 "," $292,658,302 ",0.53," $14,466,425,257 ",9.16E+06,2.80E+08
TCD,Chad," $793,596,083 "," $405,305,334 "," $129,432,325 "," $29,092,305 "," $133,773,273 "," $298,239,864 "," $1,789,439,185 ",0.36," $43,278,498,606 ",1.63E+07,2.71E+09
CHL,Chile," $138,313,026 "," $194,661,006 "," $565,213,655 "," $425,592,670 "," $4,576,774,909 "," $1,180,111,053 "," $7,080,666,319 ",0.60," $532,130,577,874 ",1.93E+07,3.74E+10
CHN,China," $12,625,461,413 "," $16,027,122,446 "," $12,442,236,000 "," $7,734,537,749 "," $85,262,105,789 "," $26,818,292,679 "," $160,909,756,077 ",0.56," $38,047,314,343,800 ",1.35E+09,7.16E+11
COL,Colombia," $1,799,917,083 "," $1,171,934,919 "," $54,775,283 "," $1,794,112,742 "," $217,384,499 "," $1,007,624,905 "," $6,045,749,432 ",0.44," $887,358,000,956 ",5.61E+07,2.17E+10
CRI,Costa Rica," $107,079,881 "," $471,928,144 "," $412,345,492 "," $332,525,423 "," $238,812,347 "," $312,538,258 "," $1,875,229,546 ",0.73," $113,333,365,005 ",5.73E+06,4.10E+09
HRV,Croatia," $14,564,761 "," $31,014,904 "," $5,654,307 "," $34,850,804 ", $-   ," $17,216,955 "," $103,301,731 ",0.52," $89,083,438,418 ",3.71E+06,6.62E+08
CUB,Cuba," $213,216,226 "," $155,776,768 "," $85,713,435 "," $80,794,152 "," $516,887,083 "," $210,477,533 "," $1,262,865,197 ",1.00," $116,463,655,409 ",1.05E+07,2.57E+09
CYP,Cyprus," $12,296,041 "," $17,489,517 "," $1,036,573 "," $9,296,671 "," $42,300,336 "," $16,483,828 "," $98,902,965 ",0.74," $25,071,319,400 ",1.18E+06,3.48E+08
CZE,Czech Republic," $77,879,691 "," $132,784,997 "," $93,138,344 "," $50,449,831 "," $30,835,914 "," $77,017,755 "," $462,106,532 ",0.53," $489,199,705,456 ",1.19E+07,2.33E+09
COD,Democratic Republic of the Congo," $2,033,874,502 "," $2,228,217,365 "," $963,994,782 "," $78,562,761 "," $88,769,620 "," $1,078,683,806 "," $6,472,102,835 ",0.58," $177,812,800,432 ",1.01E+08,6.57E+09
