DRINKING WATER,ISO3,Year,"Population 
(thousands)",% urban,RURAL,,,,,URBAN,,,,,TOTAL,,,,,RURAL,,,,,,,URBAN,,,,,,,TOTAL,,,,,,,,,,,
"COUNTRY, AREA OR TERRITORY",,,,,,,,,,,,,,,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,"Proportion of population using 
improved water supplies",,,,,,,,,,,
,ISO3,,,,At least basic,Limited (more than 30 mins),Unimproved,Surface water,"Annual rate of change in 
at least basic",At least basic,Limited (more than 30 mins),Unimproved,Surface water,"Annual rate of change in 
at least basic",At least basic,Limited (more than 30 mins),Unimproved,Surface water,"Annual rate of change in 
at least basic",Safely managed,Accessible on premises,Available when needed,Free from contamination,Annual rate of change in safely managed,Piped,Non-piped,Safely managed,Accessible on premises,Available when needed,Free from contamination,Annual rate of change in safely managed,Piped,Non-piped,Safely managed,Accessible on premises,Available when needed,Free from contamination,Annual rate of change in safely managed,Piped,Non-piped,Sl,SDG region,WHO region,UNICEF Programming region,UNICEF Reporting region
Afghanistan,AFG,2000,   19 543,22,20,3,47,30,2.56,55,4,32,9,2.02,27,3,44,25,2.49,8,8,21,8,0.89,<1,23,21,46,52,21,0.69,19,39,11,17,28,11,0.86,4,27,1,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2001,   19 689,22,20,3,47,30,2.56,55,4,32,9,2.02,27,3,44,25,2.49,8,8,21,8,0.89,<1,23,21,46,52,21,0.69,19,39,11,17,28,11,0.86,4,27,2,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2002,   21 000,22,22,3,46,29,2.56,57,4,31,9,2.02,30,4,42,24,2.49,9,9,23,9,0.89,<1,25,22,48,54,22,0.69,20,40,12,18,30,12,0.86,4,29,3,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2003,   22 645,22,24,4,44,28,2.56,58,4,29,8,2.02,32,4,41,24,2.49,10,10,25,10,0.89,<1,27,23,50,55,23,0.69,21,41,13,19,32,13,0.86,5,30,4,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2004,   23 554,23,26,4,42,27,2.56,60,4,28,8,2.02,34,4,39,23,2.49,11,11,28,11,0.89,2,29,24,51,57,24,0.69,22,42,14,20,34,14,0.86,6,32,5,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2005,   24 411,23,29,5,41,26,2.56,62,4,26,7,2.02,36,5,37,22,2.49,12,12,30,12,0.89,2,31,24,53,59,24,0.69,23,43,15,21,37,15,0.86,7,34,6,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2006,   25 443,23,31,5,39,25,2.56,64,5,24,7,2.02,39,5,36,21,2.49,13,13,32,13,0.89,3,33,25,55,61,25,0.69,25,44,16,23,39,16,0.86,8,35,7,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2007,   25 903,23,33,5,38,24,2.56,66,4,23,6,2.02,41,5,34,20,2.49,14,14,35,14,0.89,4,34,26,56,63,26,0.69,26,45,17,24,41,17,0.86,9,37,8,Central and Southern Asia,EMR,South Asia,South Asia
Afghanistan,AFG,2008,   26 427,23,36,5,36,23,2.56,69,4,21,6,2.02,44,5,33,19,2.49,15,16,37,15,0.89,5,36,27,58,65,27,0.69,27,46,17,25,44,17,0.86,10,38,9,Central and Southern Asia,EMR,South Asia,South Asia
